id	english_name	korean_name	utc_time
004	Afghanistan	아프가니스탄	2
008	Albania	알바니아	2
010	Antarctica	남극	4
012	Algeria	알제리	1
024	Angola	앙골라	3
031	Azerbaijan	아제르바이잔	0
032	Argentina	아르헨티나	7
036	Australia	호주	2
040	Honduras	온두라스	2
044	Bahamas	바하마	-3
050	Bangladesh	방글라데시	12
051	Armenia	아르메니아	5
056	Belgium	벨기에	3
064	Bhutan	부탄	0
068	Bolivia	볼리비아	1
070	Bosnia-Herzegovina	보스니아헤르체고비나	0
072	Botswana	보츠와나	2
076	Brazil	브라질	-5
084	Belize	벨리즈	4
090	Sudan	수단	0
096	Brunei	브루나이	-6
100	Bulgaria	불가리아	-4
104	Myanmar	미얀마	3
108	Burundi	부룬디	1
112	Belarus	벨라루스	1
116	Canada	캐나다	1
120	Kazakhstan	카자흐스탄	2
124	Kenya	케냐	0
140	Djibouti	지부티	0
144	Eswatini	에스와티니	0
148	Czech	체코	3
152	Cameroon	카메룬	3
156	Central African Republic	중앙아프리카공화국	1
158	Taiwan	타이완	-3
170	Congo	콩고공화국	3
178	Democratic Republic of Congo	콩고민주공화국(DR콩고)	2
180	Cuba	쿠바	2
188	Côte D'Ivoire	코트디부아르	7
191	Kyrgyz	키르기즈	3
192	Kuwait	쿠웨이트	1
196	Western Sahara	서부 사하라	0
203	Chile	칠레	2
204	Benin	베냉	2
208	Denmark	덴마크	6.5
214	Dominican Republic	도미니카공화국	2
218	Ethiopia	에티오피아	0
222	United Kingdom	영국	8
226	Georgia	조지아	8
231	El Salvador	엘살바도르	-8
232	Eritrea	에리트레아	2
233	Ecuador	에콰도르	0
238	Falkland Islands (Malvinas)	포클랜드 제도 (말비나스)	2
242	Fiji	피지	-3
246	Finland	핀란드	5
250	France	프랑스	-4
260	French Southern Territories	프랑스령 남방영토	2
262	Zimbabwe	짐바브웨	9
266	Gabon	가봉	1
268	China	중국	1
270	Gambia	감비아	1
275	Palestinian Territory, Occupied	팔레스타인	3
276	Germany	독일	3
288	Ghana	가나	4.5
300	Greece	그리스	4
304	Greenland	그린란드	-3
320	Guatemala	과테말라	1
324	Guinea	기니	10
328	Guyana	가이아나	0
332	Haiti	아이티	2
340	Jordan	요르단	4
348	Hungary	헝가리	3
352	Iceland	아이슬란드	2
356	Indonesia	인도네시아	5
360	Japan	일본	-5
364	Israel	이스라엘	-6
368	Iran	이란	12.75
372	Ireland	아일랜드	2
376	Egypt	이집트	1
380	India	인도	1
384	Colombia	콜롬비아	1
388	Zambia	잠비아	-4
392	Jamaica	자메이카	10
398	Qatar	카타르	3
400	Uganda	우간다	1
404	Costa Rica	코스타리카	1
408	North Korea	북한	0
410	South Korea	대한민국	3
414	Croatia	크로아티아	3
417	Cyprus	사이프러스	0
418	Laos	라오스	1
422	Lebanon	레바논	1
426	Lesotho	레소토	-4
428	Latvia	라트비아	2
430	Liberia	라이베리아	-5
434	Libya	리비아	1
440	Lithuania	리투아니아	1
442	Luxembourg	룩셈부르크	8
450	Madagascar	마다가스카르	-6
454	Malawi	말라위	1
458	Malaysia	말레이시아	-5
466	Mali	말리	3
478	Mauritania	모리타니아	1
484	Mexico	멕시코	1
496	Mongolia	몽골	1
498	Moldova	몰도바	-6
499	Montenegro	몬테네그로	-5
504	Morocco	모로코	1
508	Mazambique	모잠비크	-4
512	Austria	오스트리아	1
516	Namibia	나미비아	-5
524	Nepal	네팔	1
528	Netherlands	네덜란드	-4
540	New Caledonia	뉴칼레도니아	-6
548	Vanuatu	바누아투	2
554	New Zealand	뉴질랜드	-3
558	Nicaragua	니카라과	8
562	Niger	니제르	11
566	Nigeria	나이지리아	6
578	Norway	노르웨이	2
586	Pakistan	파키스탄	3
591	Panama	파나마	4
598	Papua New Guinea :PNG	파푸아뉴기니	5
600	Paraguay	파라과이	1
604	Peru	페루	2
608	Philippines	필리핀	-4
616	Poland	폴란드	1
620	Portugal	포르투갈	1
624	Guinea-Bissau	기니비사우	1
626	Timor-Leste	동티모르	7
630	Puerto Rico	푸에르토리코	3
634	Cambodia	캄보디아	0
642	Romania	루마니아	8
643	Russia	러시아	5.5
646	Rwanda	르완다	-5
682	Saudi Arabia	사우디아라비아	1
686	Serbia	세르비아	7
688	Somalia	소말리아	3.5
694	Sierra Leone	시에라리온	9
703	Slovakia	슬로바키아	2
704	Vietnam	베트남	-12
705	Slovenia	슬로베니아	3
706	Solomon Islands	솔로몬제도	3
710	South Africa	남아프리카공화국	6
716	Chad	차드	-4
724	Spain	스페인	6
728	South Sudan	남수단	1
729	Suriname	수리남	2
732	Senegal	세네갈	5.5
740	Sri Lanka	스리랑카	1
748	Estonia	에스토니아	8
752	Sweden	스웨덴	-4
756	Swiss	스위스	9
760	Syria	시리아	9
762	Tajikistan	타지키스탄	2
764	Thailand	태국	1
768	Togo	토고	5
780	Trinidad & Tobago	트리니다드토바고	-4
784	United Arab Emirates : UAE	아랍에미리트	3
788	Tunisia	튀니지	0
792	Turkey	터키	2
795	Turkmenistan	투르크메니스탄	7
800	Uruguay	우루과이	5.75
804	Iraq	이라크	11
807	North Macedonia	북마케도니아	-6
818	Italia	이탈리아	1
826	Yemen	예멘	2
834	Tanzania	탄자니아	1
840	United States of America	미국	3
854	Burkina Faso	부르키나파소	2
858	Uzbekistan	우즈베키스탄	1
860	Ukraine	우크라이나	11
862	Venezuela	베네수엘라	1
887	Oman	오만	1
894	Equatorial Guinea	적도기니	-5
