알제리/안나바/라바 비타트 공항/AAE	알제리	안나바	라바 비타트 공항	AAE
덴마크/올보르/올보르 공항/AAL	덴마크	올보르	올보르 공항	AAL
아랍에미리트/비스바덴/알 아인 국제공항/AAN	아랍에미리트	비스바덴	알 아인 국제공항	AAN
러시아/아나파/아나파 에어포트/AAQ	러시아	아나파	아나파 에어포트	AAQ
덴마크/오르후스/오르후스 공항/AAR	덴마크	오르후스	오르후스 공항	AAR
중국/알타이/아러타이 에어포트/AAT	중국	알타이	아러타이 에어포트	AAT
브라질/아락사/아라샤 에어포트/AAX	브라질	아락사	아라샤 에어포트	AAX
러시아/아바칸/아바칸 인터내셔널 에어포트/ABA	러시아	아바칸	아바칸 인터내셔널 에어포트	ABA
나이지리아/아사바/아사바 국제 공항/ABB	나이지리아	아사바	아사바 국제 공항	ABB
미국/앨런타운/리하이 밸리 국제공항/ABE	미국	앨런타운	리하이 밸리 국제공항	ABE
미국/애빌린/애빌렌지역공항/ABI	미국	애빌린	애빌렌지역공항	ABI
코트디부아르/아비장/포르부에 공항/ABJ	코트디부아르	아비장	포르부에 공항	ABJ
미국/앰블러/앰블러 에어포트/ABL	미국	앰블러	앰블러 에어포트	ABL
호주/베이매거/노던 페닌술라 에어포트/ABM	호주	베이매거	노던 페닌술라 에어포트	ABM
미국/앨버커키/앨버커키국제공항/ABQ	미국	앨버커키	앨버커키국제공항	ABQ
미국/애버딘/애버딘/ABR	미국	애버딘	애버딘	ABR
이집트/아부심벨/아부심벨공항/ABS	이집트	아부심벨	아부심벨공항	ABS
사우디아라비아/알바하/알-바하 도메스틱 에어포트/ABT	사우디아라비아	알바하	알-바하 도메스틱 에어포트	ABT
나이지리아/아부자/은남디 아지키웨 국제공항/ABV	나이지리아	아부자	은남디 아지키웨 국제공항	ABV
호주/앨버리/알베리공항/ABX	호주	앨버리	알베리공항	ABX
미국/올버니/사우스웨스트조지아지역공항/ABY	미국	올버니	사우스웨스트조지아지역공항	ABY
영국/애버딘/애버딘 공항/ABZ	영국	애버딘	애버딘 공항	ABZ
멕시코/아카풀코/헤네랄 후안 N. 알바레스 국제공항/ACA	멕시코	아카풀코	헤네랄 후안 N. 알바레스 국제공항	ACA
가나/아크라/코토카 국제공항/ACC	가나	아크라	코토카 국제공항	ACC
스페인/아레시페/란사로테공항/ACE	스페인	아레시페	란사로테공항	ACE
스위스/탈/장크트갈렌-알테하인 공항/ACH	스위스	탈	장크트갈렌-알테하인 공항	ACH
건지/올더니/올더니 에어포트/ACI	건지	올더니	올더니 에어포트	ACI
미국/낸터킷/낸터컷 메모리얼공항/ACK	미국	낸터킷	낸터컷 메모리얼공항	ACK
미국/웨이코/와코지역공항/ACT	미국	웨이코	와코지역공항	ACT
파나마/아츄투포/아츄 투포 공항/ACU	파나마	아츄투포	아츄 투포 공항	ACU
미국/아르카타/아카타-유레카 에어포트/ACV	미국	아르카타	아카타-유레카 에어포트	ACV
중국/싱이/싱이 공항/ACX	중국	싱이	싱이 공항	ACX
미국/애틀랜틱시티/아틀랜틱시티 국제공항/ACY	미국	애틀랜틱시티	아틀랜틱시티 국제공항	ACY
터키/아다나/사키르파샤 공항/ADA	터키	아다나	사키르파샤 공항	ADA
터키/이즈미르/아드난 멘데레스 공항/ADB	터키	이즈미르	아드난 멘데레스 공항	ADB
에티오피아/아디스아바바/볼레 국제공항/ADD	에티오피아	아디스아바바	볼레 국제공항	ADD
예멘/아덴/아덴 공항/ADE	예멘	아덴	아덴 공항	ADE
터키/아디야만/아디야만 에어포트/ADF	터키	아디야만	아디야만 에어포트	ADF
러시아/알단/알단 에어포트/ADH	러시아	알단	알단 에어포트	ADH
미국/아닥 섬/에이댁 에어포트/ADK	미국	아닥 섬	에이댁 에어포트	ADK
호주/애들레이드/ADELAIDE/ADL	호주	애들레이드	Adelaide	ADL
미국/코디악/코디악공항/ADQ	미국	코디악	코디악공항	ADQ
미국/댈러스/ADDISON/ADS	미국	댈러스	Addison	ADS
콜롬비아/산안드레스/구스타보 로하스 피니야 국제공항/ADZ	콜롬비아	산안드레스	구스타보 로하스 피니야 국제공항	ADZ
중국/바이써/YOUJIANG/AEB	중국	바이써	Youjiang	AEB
아르헨티나/부에노스아이레스/호르헤뉴베리공항/AEP	아르헨티나	부에노스아이레스	호르헤뉴베리공항	AEP
러시아/소치/ADLER/SOCHI/AER	러시아	소치	Adler/Sochi	AER
노르웨이/올레순/올레순 공항/AES	노르웨이	올레순	올레순 공항	AES
미국/알라카켓/알라카케트 에어포트/AET	미국	알라카켓	알라카케트 에어포트	AET
미국/알렉산드리아/알렉산드리아 국제공항/AEX	미국	알렉산드리아	알렉산드리아 국제공항	AEX
아이슬란드/아쿠레이리/아쿠레이리 공항/AEY	아이슬란드	아쿠레이리	아쿠레이리 공항	AEY
아르헨티나/산라파엘/산라파엘공항/AFA	아르헨티나	산라파엘	산라파엘공항	AFA
브라질/알타플로레스타/아우타 플로레스타 에어포트/AFL	브라질	알타플로레스타	아우타 플로레스타 에어포트	AFL
모로코/아가디르/알마시라 공항/AGA	모로코	아가디르	알마시라 공항	AGA
독일/뮌헨/아우크스부르크공항/AGB	독일	뮌헨	아우크스부르크공항	AGB
프랑스/아장/라 가렌 비행장/AGF	프랑스	아장	라 가렌 비행장	AGF
스웨덴/안겔홀름/ANGELHOLM/AGH	스웨덴	안겔홀름	Angelholm	AGH
그린란드/타실리아크/TASIILAQ/AGM	그린란드	타실리아크	Tasiilaq	AGM
미국/안군/ANGOON/AGN	미국	안군	Angoon	AGN
스페인/말라가/말라가공항/AGP	스페인	말라가	말라가공항	AGP
인도/아그라/아그라공항/AGR	인도	아그라	아그라공항	AGR
미국/오거스타/오거스타지역부시필드공항/AGS	미국	오거스타	오거스타지역부시필드공항	AGS
파라과이/시우다드델에스테/과라니 국제공항/AGT	파라과이	시우다드델에스테	과라니 국제공항	AGT
멕시코/아과스칼리엔테스/리센시아도 헤수스 테란 페레도 국제공항/AGU	멕시코	아과스칼리엔테스	리센시아도 헤수스 테란 페레도 국제공항	AGU
인도/AGATTIISLAND/아가티 에어로드롬/AGX	인도	AgattiIsland	아가티 에어로드롬	AGX
사우디아라비아/아브하/ABHA/AHB	사우디아라비아	아브하	Abha	AHB
프랑스령폴리네시아/아헤/아흐 에어포트/AHE	프랑스령폴리네시아	아헤	아흐 에어포트	AHE
이탈리아/알게로/페르틸리아공항/AHO	이탈리아	알게로	페르틸리아공항	AHO
모로코/알호세이마/체리프알드리시공항/AHU	모로코	알호세이마	체리프알드리시공항	AHU
미국/얼라이언스/알리앙스시공항/AIA	미국	얼라이언스	알리앙스시공항	AIA
미국/WAINWRIGHT/웨인라이트 에어포트/AIN	미국	Wainwright	웨인라이트 에어포트	AIN
