id	english_name	korean_name	utc_time
004	Afghanistan	아프가니스탄	4.5
008	Albania	알바니아	2
010	Antarctica	남극	12
012	Algeria	알제리	1
024	Angola	앙골라	1
031	Azerbaijan	아제르바이잔	4
032	Argentina	아르헨티나	-3
036	Australia	호주	11
040	Austria	오스트리아	1
044	Bahamas	바하마	-5
050	Bangladesh	방글라데시	6
051	Armenia	아르메니아	4
056	Belgium	벨기에	2
064	Bhutan	부탄	6
068	Bolivia	볼리비아	-4
070	Bosnia-Herzegovina	보스니아헤르체고비나	1
072	Botswana	보츠와나	2
076	Brazil	브라질	-3
084	Belize	벨리즈	-6
090	Solomon Islands	솔로몬제도	11
096	Brunei	브루나이	8
100	Bulgaria	불가리아	2
104	Myanmar	미얀마	6.5
108	Burundi	부룬디	2
112	Belarus	벨라루스	3
116	Cambodia	캄보디아	7
120	Cameroon	카메룬	1
124	Canada	캐나다	-4
140	Central African Republic	중앙아프리카공화국	2
144	Sri Lanka	스리랑카	5.5
148	Chad	차드	2
152	Chile	칠레	-4
156	China	중국	8
158	Taiwan	타이완	8
170	Colombia	콜롬비아	-5
178	Congo	콩고공화국	1
180	Democratic Republic of Congo	콩고민주공화국(DR콩고)	1
188	Costa Rica	코스타리카	-6
191	Croatia	크로아티아	1
192	Cuba	쿠바	-5
196	Cyprus	사이프러스	2
198	N. Cyprus	북 키프로스	2
203	Czech	체코	1
204	Benin	베냉	1
208	Denmark	덴마크	1
214	Dominican Republic	도미니카공화국	-4
218	Ecuador	에콰도르	-5
222	El Salvador	엘살바도르	-6
226	Equatorial Guinea	적도기니	1
231	Ethiopia	에티오피아	3
232	Eritrea	에리트레아	3
233	Estonia	에스토니아	2
238	Falkland Islands (Malvinas)	포클랜드 제도 (말비나스)	-3
242	Fiji	피지	12
246	Finland	핀란드	3
250	France	프랑스	1
260	French Southern Territories	프랑스령 남방영토	3
262	Djibouti	지부티	3
266	Gabon	가봉	1
268	Georgia	조지아	4
270	Gambia	감비아	0
275	Palestinian Territory, Occupied	팔레스타인	2
276	Germany	독일	1
288	Ghana	가나	0
300	Greece	그리스	2
304	Greenland	그린란드	-2
320	Guatemala	과테말라	-6
324	Guinea	기니	0
328	Guyana	가이아나	-4
332	Haiti	아이티	-5
340	Honduras	온두라스	-6
348	Hungary	헝가리	1
352	Iceland	아이슬란드	0
356	India	인도	5.5
360	Indonesia	인도네시아	7
364	Iran	이란	4.5
368	Iraq	이라크	3
372	Ireland	아일랜드	0
376	Israel	이스라엘	2
380	Italia	이탈리아	2
384	C?te D'Ivoire	코트디부아르	0
388	Jamaica	자메이카	-5
392	Japan	일본	9
398	Kazakhstan	카자흐스탄	6
399	Kosovo	코소보	1
400	Jordan	요르단	2
404	Kenya	케냐	3
408	North Korea	북한	9
410	South Korea	대한민국	9
414	Kuwait	쿠웨이트	3
417	Kyrgyz	키르기즈	6
418	Laos	라오스	7
422	Lebanon	레바논	3
426	Lesotho	레소토	2
428	Latvia	라트비아	2
430	Liberia	라이베리아	0
434	Libya	리비아	2
440	Lithuania	리투아니아	2
442	Luxembourg	룩셈부르크	1
450	Madagascar	마다가스카르	3
454	Malawi	말라위	2
458	Malaysia	말레이시아	8
466	Mali	말리	0
478	Mauritania	모리타니아	0
484	Mexico	멕시코	-6
496	Mongolia	몽골	8
498	Moldova	몰도바	2
499	Montenegro	몬테네그로	1
504	Morocco	모로코	0
508	Mazambique	모잠비크	2
512	Oman	오만	4
516	Namibia	나미비아	1
524	Nepal	네팔	5.75
528	Netherlands	네덜란드	2
540	New Caledonia	뉴칼레도니아	11
548	Vanuatu	바누아투	11
554	New Zealand	뉴질랜드	12
558	Nicaragua	니카라과	-6
562	Niger	니제르	1
566	Nigeria	나이지리아	1
578	Norway	노르웨이	1
586	Pakistan	파키스탄	5
591	Panama	파나마	-5
598	Papua New Guinea :PNG	파푸아뉴기니	10
600	Paraguay	파라과이	-4
604	Peru	페루	-5
608	Philippines	필리핀	8
616	Poland	폴란드	1
620	Portugal	포르투갈	0
624	Guinea-Bissau	기니비사우	0
626	Timor-Leste	동티모르	9
630	Puerto Rico	푸에르토리코	-4
634	Qatar	카타르	3
642	Romania	루마니아	2
643	Russia	러시아	3
646	Rwanda	르완다	2
682	Saudi Arabia	사우디아라비아	3
686	Senegal	세네갈	0
688	Serbia	세르비아	1
694	Sierra Leone	시에라리온	0
703	Slovakia	슬로바키아	1
704	Vietnam	베트남	7
705	Slovenia	슬로베니아	2
706	Somalia	소말리아	3
708	Somaliland	소말릴란드	3
710	South Africa	남아프리카공화국	2
716	Zimbabwe	짐바브웨	2
724	Spain	스페인	1
728	South Sudan	남수단	2
729	Sudan	수단	2
732	Western Sahara	서사하라	1
740	Suriname	수리남	3
748	Eswatini	에스와티니	2
752	Sweden	스웨덴	1
756	Swiss	스위스	1
760	Syria	시리아	2
762	Tajikistan	타지키스탄	5
764	Thailand	태국	7
768	Togo	토고	0
780	Trinidad & Tobago	트리니다드토바고	-4
784	United Arab Emirates : UAE	아랍에미리트	4
788	Tunisia	튀니지	1
792	Turkey	터키	3
795	Turkmenistan	투르크메니스탄	5
800	Uganda	우간다	3
804	Ukraine	우크라이나	2
807	North Macedonia	북마케도니아	2
818	Egypt	이집트	2
826	United Kingdom	영국	0
834	Tanzania	탄자니아	3
840	United States of America	미국	-4
854	Burkina Faso	부르키나파소	2
858	Uruguay	우루과이	-3
860	Uzbekistan	우즈베키스탄	5
862	Venezuela	베네수엘라	-4
887	Yemen	예멘	3
894	Zambia	잠비아	2
